gerogeroR,IiyamaAkari,mjauemi,nippon_ukuraina,OKB1917,nvkePqkpk5P3Y50,Gurenko_Andrii,MichitoTsuruoka,Sz73B,ozawa_jimusho,jda1BekUDve1ccx,kamipapa_ro,FIFI_Egypt,KunisueNorito,yoniumuhibi,KanAugust,matsudaHI,KadotaRyusho,tezheya,rockfish31,iiduna_yutaka,Narodovlastiye,toshio_tamogami,naoyafujiwara,ichiroaisawa,kazzshi69,airi_deshi_555,rusbureau,mooncave3,soraplaza
1541385792391548928,252469521,1538137226345082880,1541429417380966400,1541391245498392576,1490000180061433856,1541376916414173185,1894110541,1155253599946960898,2912704928,1414844951850930176,1378673526660456448,1510529121369341958,1514110611319570432,961776810793955328,1517403350764904448,1142373927462641664,267904795,1246022294419300352,606488656,1097135092105863168,124787404,1166544713479929856,1516591719617560578,1307534907019730944,916570283321868288,1282564994060541952,1194119393963196417,791181742858080257,1541475345811095554
1529485568429948928,173417823,1063775374373343232,1314951742421782528,2647258524,1498570345993113603,1541329686222888960,1539127546868006918,2911285855,2853705056,883299829408907266,335368021,345369138,1387571607057571840,1260541567590227968,1293898194162655234,1235623954221387778,1499883039639601153,1515588978241859590,1464527376822325253,1427304003738628099,1540180725051592704,454782129,1538056108253687808,1220108256678252546,1070933576445644805,970071196392833029,135286002,1091136300797722624,1376087278154514434
1540965222315618304,553471231,127403955,1524073274082222087,2430185574,108169505,85727889,1425443997946814465,1012460461940400128,1255507755193991170,636106402,999606621817913344,951596476521627648,1398208417471205378,919038895655862272,1406811007641522178,1522162933731856384,1487298204563501056,464679676,1517416217581334529,1533844867641909248,2920141472,1453343915583569927,1513411494280822787,963296770225680384,720665518336712705,1218377429623820288,145005264,1530772122142134272,982538641
265636681,1240971851926388736,1510117417460314114,1524106188023115776,1464527376822325253,1579167325,1495986402282012672,1175234300855193601,1509366293358538754,762592136273408000,149056211,916246646,1540532482042253312,199143204,1332692415308648448,1540254474958422017,1465264997979033602,98902899,1526530701931053057,1292481875785613312,1032266401250070528,1425589733808214020,1444585669414645761,966019184,844351743525715968,423996484,1388789037150834690,826417641111695360,1530816819753148421,1539495575124848641
429225069,1029607769186291713,1418514668390256648,1510296521564037120,1427565935682936835,1539857757704429568,611979184,1541273920887832576,1363179926682103815,1498487891571326977,1132915505096822784,227923699,3017279610,13526342,956824138932396032,4806267800,1458734690,1416217473142038532,1541569343837945857,854302328152743938,1497117608277340160,130440011,876683129657765888,4266356474,1295357344763662337,1487957072645820422,1536701925483507715,1152730134106873856,1337180285822070785,1536167251195285504
1242612291419271169,261638197,960601334809415680,1541418534777290752,2956041924,1501840241673764865,961904050684944385,1491819142214995970,1462241395909922817,214874945,1268554957776699399,79322784,931442578364362752,1488467013228199941,4301486953,1495013895064358913,47563771,1533310206414708736,1519889825972719617,2828944591,360575173,961519899490238464,1221590228189663237,1124173033218797568,108775239,427445965,1201897992837459968,1412919588858187776,1541055125124370432,1240868749084782593
897417948352061440,1108688668745555968,1320327827951005702,107422289,1540828764577247233,1356265497587683328,1536201586896084992,892444888863711232,1076747934,106390896,130770717,145628293,1182351339914838017,118087332,151516383,1463468344850501637,1254155345540325376,1540532482042253312,369802125,755925012033380356,216344108,1541576184332718081,266720216,1322639370923339776,1605827834,411548615,1541376916414173185,2345273144,1248964830452563970,1382753292329971716
3224096906,1476649305679478784,1094057289563045888,1425443997946814465,1537458947795591168,1451522149013803008,1466976948400582657,286632920,1355284099666067458,876584793516855296,1354348647886983168,911921895812902912,1373640645886152718,1464443888975118342,4551972259,1082277048733691905,1061879031199645696,134004669,960139172378951683,2974918394,1275334739612725248,1885311356,1466892918581776384,843853226369671168,870542162399698944,1446652908502614017,1452487181751099402,4807043820,1521094831212220417,1420316164228403203
1084238979505876992,1087569653449207808,1055416463916380160,1539947556460908544,1539127194521567232,1155627179062861824,842560726124314624,878894130943860736,1489720781651079168,1541576184332718081,134004669,1719944520,1158594769846587394,1342729092152479746,2547750281,1539234714812178432,1453361700284080128,750488139760754688,224209226,813061788,1527348642243571712,1541575051316604928,719504957053882368,137858154,1538892189152948224,1473644512090066946,1015067971,1161911179976966145,1301112074664161280,1417545018013741061
1421491486110015494,1138891897,939775622338850821,1380874811275046915,877454299155922944,1462620781523914788,826537765,870846483276283905,1382775055206162434,959074470,1495314247219175427,1049528720594067456,1349665581553782784,1540246464130977792,1434465434368020485,873501366336892928,1482855724522872837,1473462496388599811,1510560694248226820,1540828764577247233,978328837468569600,1303155800764854275,3319823593,1541315862069596161,1425929809893355521,364064619,1523235507110514689,698827070667763712,1396269499997847552,1541188136864063489
